rxcui,generic_name,has_label,product_type,indications_and_usage,matched_disorders
1291301,avanafil,True,HUMAN PRESCRIPTION DRUG,1 INDICATIONS AND USAGE Avanafil tablets are a phosphodiesterase 5 (PDE5) inhibitor indicated for the treatment of erectile dysfunction in adult males. Avanafil tablet is a phosphodiesterase 5 (PDE5) inhibitor indicated for the treatment of erectile dysfunction ( 1 ),
1292,baclofen,True,HUMAN PRESCRIPTION DRUG,"INDICATIONS AND USAGE Baclofen tablets, USP are useful for the alleviation of signs and symptoms of spasticity resulting from multiple sclerosis, particularly for the relief of flexor spasms and concomitant pain, clonus, and muscular rigidity. Patients should have reversible spasticity so that baclofen treatment will aid in restoring residual function. Baclofen tablets, USP may also be of some value in patients with spinal cord injuries and other spinal cord diseases. Baclofen tablets, USP are not indicated in the treatment of skeletal muscle spasm resulting from rheumatic disorders. The efficacy of baclofen in stroke, cerebral palsy, and Parkinson's disease has not been established and, therefore, it is not recommended for these conditions.",Tourette's Disorder
1359,belladonna alkaloids,False,,,
89781,"belladonna extract, USP",False,,,
314517,belladonna leaf extract,False,,,
1373,benperidol,False,,,
2690627,benzgalantamine,True,HUMAN PRESCRIPTION DRUG,1 INDICATIONS AND USAGE ZUNVEYL is indicated for the treatment of mild to moderate dementia of the Alzheimer's type in adults. ZUNVEYL is a cholinesterase inhibitor indicated for the treatment of mild to moderate dementia of the Alzheimer's type in adults ( 1 ),
1422,benzphetamine,True,HUMAN PRESCRIPTION DRUG,"INDICATIONS AND USAGE Benzphetamine hydrochloride tablets are indicated in the management of exogenous obesity as a short term (a few weeks) adjunct in a regimen of weight reduction based on caloric restriction in patients with an initial body mass index (BMI) of 30 kg/m2 or higher who have not responded to appropriate weight reducing regimen (diet and/or exercise) alone. Below is a chart of Body Mass Index (BMI) based on various heights and weights. BMI is calculated by taking the patient's weight, in kilograms (kg), divided by the patient's height, in meters (m), squared. Metric conversions are as follows: pounds ÷2.2 = kg; inches × 0.0254 = meters. The limited usefulness of agents of this class (See CLINICAL PHARMACOLOGY ) should be weighed against possible risks inherent in their use such as those described below. Benzphetamine hydrochloride tablets are indicated for use as monotherapy only. BMI Table",
2176312,bremelanotide,True,HUMAN PRESCRIPTION DRUG,"1 INDICATIONS AND USAGE VYLEESI is indicated for the treatment of premenopausal women with acquired, generalized hypoactive sexual desire disorder (HSDD), as characterized by low sexual desire that causes marked distress or interpersonal difficulty and is NOT due to: A co-existing medical or psychiatric condition, Problems with the relationship, or The effects of a medication or drug substance. Acquired HSDD refers to HSDD that develops in a patient who previously had no problems with sexual desire. Generalized HSDD refers to HSDD that occurs regardless of the type of stimulation, situation or partner. Limitations of Use VYLEESI is not indicated for the treatment of HSDD in postmenopausal women or in men. VYLEESI is not indicated to enhance sexual performance. VYLEESI is a melanocortin receptor agonist indicated for the treatment of premenopausal women with acquired, generalized hypoactive sexual desire disorder (HSDD) as characterized by low sexual desire that causes marked distress or interpersonal difficulty and is NOT due to: A co-existing medical or psychiatric condition, Problems with the relationship, or The effects of a medication or drug substance ( 1 ). Limitations of Use ( 1 ): Not indicated for treatment of HSDD in postmenopausal women or in men. Not indicated to enhance sexual performance.",
2121777,brexanolone,False,,,
1658314,brexpiprazole,True,HUMAN PRESCRIPTION DRUG,"1 INDICATIONS AND USAGE REXULTI is indicated for: Adjunctive treatment to antidepressants for major depressive disorder (MDD) in adults Treatment of schizophrenia in adults and pediatric patients ages 13 years and older Treatment of agitation associated with dementia due to Alzheimer's disease Limitations of Use: REXULTI is not indicated as an as needed (""prn"") treatment for agitation associated with dementia due to Alzheimer's disease [see Clinical Studies (14.3) ] . REXULTI is an atypical antipsychotic indicated for: Use as an adjunctive therapy to antidepressants for the treatment of major depressive disorder (MDD) in adults ( 1 , 14.1 ) Treatment of schizophrenia in adults and pediatric patients ages 13 years and older ( 1 , 14.2 ) Treatment of agitation associated with dementia due to Alzheimer's disease ( 1 , 14.3 ) Limitations of Use : REXULTI is not indicated as an as needed (""prn"") treatment for agitation associated with dementia due to Alzheimer's disease ( 1 )",Major Depressive Disorder; Schizophrenia
1749,bromazepam,False,,,
19759,bromodiphenhydramine,False,,,
19777,bromperidol,False,,,
1819,buprenorphine,True,HUMAN PRESCRIPTION DRUG,"1 INDICATIONS AND USAGE Buprenorphine sublingual tablet is indicated for the treatment of opioid dependence and is preferred for induction. Buprenorphine sublingual tablet should be used as part of a complete treatment plan to include counseling and psychosocial support. Buprenorphine sublingual tablet, contains buprenorphine, a partial opioid agonist, and is indicated for the treatment of opioid dependence and is preferred for induction. (1) Buprenorphine sublingual tablet should be used as part of a complete treatment plan that includes counseling and psychosocial support. (1)",
42347,bupropion,True,HUMAN PRESCRIPTION DRUG,"1 INDICATIONS AND USAGE Bupropion hydrochloride extended-release tablets (XL) are an aminoketone antidepressant, indicated for: treatment of major depressive disorder (MDD) (1.1) prevention of seasonal affective disorder (SAD) ( 1.2) 1.1 Major Depressive Disorder (MDD) Bupropion hydrochloride extended-release tablets (XL) are indicated for the treatment of major depressive disorder (MDD), as defined by the Diagnostic and Statistical Manual (DSM). The efficacy of the immediate-release formulation of bupropion was established in two 4-week controlled inpatient trials and one 6-week controlled outpatient trial of adult patients with MDD. The efficacy of the sustained-release formulation of bupropion in the maintenance treatment of MDD was established in a long-term (up to 44 weeks), placebo-controlled trial in patients who had responded to bupropion in an 8-week study of acute treatment [see Clinical Studies (14.1) ]. 1.2 Seasonal Affective Disorder (SAD) Bupropion hydrochloride extended-release tablets (XL) are indicated for the prevention of seasonal major depressive episodes in patients with a diagnosis of seasonal affective disorder (SAD). The efficacy of bupropion hydrochloride extended-release tablets in the prevention of seasonal major depressive episodes was established in 3 placebo-controlled trials in adult outpatients with a history of MDD with an autumn-winter seasonal pattern as defined in the DSM [see Clinical Studies (14.2) ].",Major Depressive Disorder
1827,buspirone,True,HUMAN PRESCRIPTION DRUG,"INDICATIONS AND USAGE Buspirone hydrochloride tablets are indicated for the management of anxiety disorders or the short-term relief of the symptoms of anxiety. Anxiety or tension associated with the stress of everyday life usually does not require treatment with an anxiolytic. The efficacy of buspirone hydrochloride tablets has been demonstrated in controlled clinical trials of outpatients whose diagnosis roughly corresponds to Generalized Anxiety Disorder (GAD). Many of the patients enrolled in these studies also had coexisting depressive symptoms and buspirone hydrochloride tablets relieved anxiety in the presence of these coexisting depressive symptoms. The patients evaluated in these studies had experienced symptoms for periods of 1 month to over 1 year prior to the study, with an average symptom duration of 6 months. Generalized Anxiety Disorder (300.02) is described in the American Psychiatric Association’s Diagnostic and Statistical Manual, III 1 as follows: Generalized, persistent anxiety (of at least 1 month continual duration), manifested by symptoms from three of the four following categories: 1. Motor tension: shakiness, jitteriness, jumpiness, trembling, tension, muscle aches, fatigability, inability to relax, eyelid twitch, furrowed brow, strained face, fidgeting, restlessness, easy startle. 2. Autonomic hyperactivity: sweating, heart pounding or racing, cold, clammy hands, dry mouth, dizziness, lightheadedness, paresthesias (tingling in hands or feet), upset stomach, hot or cold spells, frequent urination, diarrhea, discomfort in the pit of the stomach, lump in the throat, flushing, pallor, high resting pulse and respiration rate. 3. Apprehensive expectation: anxiety, worry, fear, rumination, and anticipation of misfortune to self or others. 4. Vigilance and scanning: hyperattentiveness resulting in distractibility, difficulty in concentrating, insomnia, feeling “on edge,” irritability, impatience. The above symptoms would not be due to another mental disorder, such as a depressive disorder or schizophrenia. However, mild depressive symptoms are common in GAD. The effectiveness of buspirone hydrochloride tablets in long-term use, that is, for more than 3 to 4 weeks, has not been demonstrated in controlled trials. There is no body of evidence available that systematically addresses the appropriate duration of treatment for GAD. However, in a study of long-term use, 264 patients were treated with buspirone hydrochloride tablets for 1 year without ill effect. Therefore, the physician who elects to use buspirone hydrochloride tablets for extended periods should periodically reassess the usefulness of the drug for the individual patient.",Generalized Anxiety Disorder; Schizophrenia; Insomnia
477631,butabarbital,False,,,
19874,butobarbital,False,,,
1841,butorphanol,True,HUMAN PRESCRIPTION DRUG,"INDICATIONS AND USAGE Butorphanol tartrate nasal spray is indicated for the management of pain severe enough to require an opioid analgesic and for which alternative treatments are inadequate. Limitations of Use : Because of the risks of addiction, abuse, and misuse, with opioids, which can occur at any dosage or duration [see WARNINGS ] reserve butorphanol tartrate nasal spray for use in patients for whom alternative treatment options (e.g., non-opioid analgesics): Have not been tolerated, or are not expected to be tolerated, Have not provided adequate analgesia, or are not expected to provide adequate analgesia Butorphanol tartrate nasal spray should not be used for an extended period of time unless the pain remains severe enough to require an opioid analgesic and for which alternative treatment options continue to be inadequate.",
2002,carbamazepine,True,HUMAN PRESCRIPTION DRUG,"INDICATIONS AND USAGE Epilepsy Carbamazepine is indicated for use as an anticonvulsant drug. Evidence supporting efficacy of carbamazepine as an anticonvulsant was derived from active drug-controlled studies that enrolled patients with the following seizure types: 1. Partial seizures with complex symptomatology (psychomotor, temporal lobe). Patients with these seizures appear to show greater improvement than those with other types. 2. Generalized tonic-clonic seizures (grand mal). 3. Mixed seizure patterns which include the above, or other partial or generalized seizures. Absence seizures (petit mal) do not appear to be controlled by carbamazepine (see PRECAUTIONS , General). Trigeminal Neuralgia Carbamazepine is indicated in the treatment of the pain associated with true trigeminal neuralgia. Beneficial results have also been reported in glossopharyngeal neuralgia. This drug is not a simple analgesic and should not be used for the relief of trivial aches or pains.",
1667655,cariprazine,True,HUMAN PRESCRIPTION DRUG,1 . INDICATIONS AND USAGE VRAYLAR ® is indicated for: • Treatment of schizophrenia in adult and pediatric patients 13 years of age and older [see Clinical Studies ( 14.1 )] • Acute treatment of manic or mixed episodes associated with bipolar I disorder in adult and pediatric patients 10 years of age and older [see Clinical Studies ( 14.2 )] • Treatment of depressive episodes associated with bipolar I disorder (bipolar depression) in adult patients [see Clinical Studies ( 14.3 )] • Adjunctive therapy to antidepressants for the treatment of major depressive disorder (MDD) in adult patients [see Clinical Studies ( 14.4 )] VRAYLAR is an atypical antipsychotic indicated for: Treatment of schizophrenia in adults and pediatric patients 13 years of age and older ( 1 ) Acute treatment of manic or mixed episodes associated with bipolar I disorder in adults and pediatric patients 10 years of age and older ( 1 ) Treatment of depressive episodes associated with bipolar I disorder (bipolar depression) in adults ( 1 ) Adjunctive therapy to antidepressants for the treatment of major depressive disorder (MDD) in adults ( 1 ),Major Depressive Disorder; Bipolar Disorder; Schizophrenia
2296,charcoal,True,HUMAN OTC DRUG,​USES: ​Temporarly relieves simple nervous tension.**,
2356,chlordiazepoxide,True,HUMAN PRESCRIPTION DRUG,"INDICATIONS AND USAGE: Chlordiazepoxide hydrochloride and clidinium bromide capsules is indicated to control emotional and somatic factors in gastrointestinal disorders. Chlordiazepoxide hydrochloride and clidinium bromide capsules may also be used as adjunctive therapy in the treatment of peptic ulcer and in the treatment of the irritable bowel syndrome (irritable colon, spastic colon, mucous colitis) and acute enterocolitis.",
2372,chlormethiazole,False,,,
2373,chlormezanone,False,,,
2403,chlorpromazine,True,HUMAN PRESCRIPTION DRUG,"INDICATIONS AND USAGE For the management of manifestations of psychotic disorders. For the treatment of schizophrenia. To control nausea and vomiting. For relief of restlessness and apprehension before surgery. For acute intermittent porphyria. As an adjunct in the treatment of tetanus. To control the manifestations of the manic type of manic-depressive illness. For relief of intractable hiccups. For the treatment of severe behavioral problems in children (1 to 12 years of age) marked by combativeness and/or explosive hyperexcitable behavior (out of proportion to immediate provocations), and in the short-term treatment of hyperactive children who show excessive motor activity with accompanying conduct disorders consisting of some or all of the following symptoms: impulsivity, difficulty sustaining attention, aggressivity, mood lability and poor frustration tolerance.",Schizophrenia; Tourette's Disorder
2406,chlorprothixene,False,,,
2556,citalopram,True,HUMAN PRESCRIPTION DRUG,1 INDICATIONS AND USAGE Citalopram tablets are indicated for the treatment of major depressive disorder (MDD) in adults [see Clinical Studies (14) ] . Citalopram tablets are a selective serotonin reuptake inhibitor (SSRI) indicated for the treatment of major depressive disorder (MDD) in adults ( 1 ) .,Major Depressive Disorder
2597,clomipramine,True,HUMAN PRESCRIPTION DRUG,"INDICATIONS AND USAGE Clomipramine hydrochloride capsules, USP is indicated for the treatment of obsessions and compulsions in patients with Obsessive-Compulsive Disorder (OCD). The obsessions or compulsions must cause marked distress, be time-consuming, or significantly interfere with social or occupational functioning, in order to meet the DSM-III-R (circa 1989) diagnosis of OCD. Obsessions are recurrent, persistent ideas, thoughts, images, or impulses that are ego­-dystonic. Compulsions are repetitive, purposeful, and intentional behaviors performed in response to an obsession or in a stereotyped fashion, and are recognized by the person as excessive or unreasonable. The effectiveness of clomipramine hydrochloride capsules, USP for the treatment of OCD was demonstrated in multicenter, placebo-controlled, parallel-group studies, including two 10-week studies in adults and one 8-week study in children and adolescents 10 to 17 years of age. Patients in all studies had moderate-to-severe OCD (DSM-III), with mean baseline ratings on the Yale-Brown Obsessive Compulsive Scale (YBOCS) ranging from 26 to 28 and a mean baseline rating of 10 on the NIMH Clinical Global Obsessive Compulsive Scale (NIMH-OC). Patients taking CMI experienced a mean reduction of approximately 10 on the YBOCS, representing an average improvement on this scale of 35% to 42% among adults and 37% among children and adolescents. CMI-treated patients experienced a 3.5 unit decrement on the NIMH-OC. Patients on placebo showed no important clinical response on either scale. The maximum dose was 250 mg/day for most adults and 3 mg/kg/day (up to 200 mg) for all children and adolescents. The effectiveness of clomipramine hydrochloride capsules, USP for long-term use (i.e., for more than 10 weeks) has not been systematically evaluated in placebo-controlled trials. The physician who elects to use clomipramine hydrochloride capsules, USP for extended periods should periodically reevaluate the long-term usefulness of the drug for the individual patient ( see DOSAGE AND ADMINISTRATION ).",OCD
2598,clonazepam,True,HUMAN PRESCRIPTION DRUG,"INDICATIONS AND USAGE Seizure Disorders: Clonazepam tablets are useful alone or as an adjunct in the treatment of the Lennox-Gastaut syndrome (petit mal variant), akinetic, and myoclonic seizures. In patients with absence seizures (petit mal) who have failed to respond to succinimides, clonazepam tablets may be useful. Some loss of effect may occur during the course of clonazepam treatment (see PRECAUTIONS : Loss of Effect ). Panic Disorder: Clonazepam tablets are indicated for the treatment of panic disorder, with or without agoraphobia, as defined in DSM-V. Panic disorder is characterized by the occurrence of unexpected panic attacks and associated concern about having additional attacks, worry about the implications or consequences of the attacks, and/or a significant change in behavior related to the attacks. The efficacy of clonazepam tablets was established in two 6- to 9-week trials in panic disorder patients whose diagnoses corresponded to the DSM-IIIR category of panic disorder (see CLINICAL PHARMACOLOGY: Clinical Trials) . Panic disorder (DSM-V) is characterized by recurrent unexpected panic attacks, i.e., a discrete period of intense fear or discomfort in which four (or more) of the following symptoms develop abruptly and reach a peak within 10 minutes: (1) palpitations, pounding heart or accelerated heart rate; (2) sweating; (3) trembling or shaking; (4) sensations of shortness of breath or smothering; (5) feeling of choking; (6) chest pain or discomfort; (7) nausea or abdominal distress; (8) feeling dizzy, unsteady, lightheaded or faint; (9) derealization (feelings of unreality) or depersonalization (being detached from oneself); (10) fear of losing control; (11) fear of dying; (12) paresthesias (numbness or tingling sensations); (13) chills or hot flushes. The effectiveness of clonazepam tablets in long-term use, that is, for more than 9 weeks, has not been systematically studied in controlled clinical trials. The physician who elects to use clonazepam tablets for extended periods should periodically reevaluate the long-term usefulness of the drug for the individual patient (see DOSAGE AND ADMINISTRATION ).",Panic Disorder
2599,clonidine,True,HUMAN PRESCRIPTION DRUG,INDICATIONS AND USAGE Clonidine hydrochloride tablets are indicated in the treatment of hypertension. Clonidine hydrochloride tablets may be employed alone or concomitantly with other antihypertensive agents.,
2603,clopamide,False,,,
2353,clorazepate,True,HUMAN PRESCRIPTION DRUG,"INDICATIONS AND USAGE Clorazepate dipotassium is indicated for the management of anxiety disorders or for the short-term relief of the symptoms of anxiety. Anxiety or tension associated with the stress of everyday life usually does not require treatment with an anxiolytic. Clorazepate dipotassium tablets are indicated as adjunctive therapy in the management of partial seizures. The effectiveness of clorazepate dipotassium tablets in long-term management of anxiety, that is, more than 4 months, has not been assessed by systematic clinical studies. Long-term studies in epileptic patients, however, have shown continued therapeutic activity. The physician should reassess periodically the usefulness of the drug for the individual patient. Clorazepate dipotassium tablets are indicated for the symptomatic relief of acute alcohol withdrawal.",
2622,clotiazepam,False,,,
2626,clozapine,True,HUMAN PRESCRIPTION DRUG,"1 INDICATIONS AND USAGE Clozapine orally disintegrating tablets (Clozapine ODT) is an atypical antipsychotic indicated for: Treatment of severely ill patients with schizophrenia who fail to respond adequately to standard antipsychotic treatment. Because of the risks of severe neutropenia and of seizure associated with its use, Clozapine ODT should be used only in patients who have failed to respond adequately to standard antipsychotic treatment ( 1.1 ) Reducing the risk of recurrent suicidal behavior in patients with schizophrenia or schizoaffective disorder who are judged to be at chronic risk for re-experiencing suicidal behavior ( 1.2 ) 1.1 Treatment-resistant Schizophrenia Clozapine Orally Disintegrating Tablets (Clozapine ODT) are indicated for the treatment of severely ill patients with schizophrenia who fail to respond adequately to standard antipsychotic treatment. Because of the risks of severe neutropenia and of seizure associated with their use, Clozapine ODT should be used only in patients who have failed to respond adequately to standard antipsychotic treatment [see Warnings and Precautions (5.1 , 5.4) ]. The effectiveness of Clozapine ODT in treatment-resistant schizophrenia was demonstrated in a 6-week, randomized, double-blind, active-controlled study comparing Clozapine ODT and chlorpromazine in patients who had failed other antipsychotics [see Clinical Studies (14.1) ]. 1.2 Reduction in the Risk of Recurrent Suicidal Behavior in Schizophrenia or Schizoaffective Disorder Clozapine ODT is indicated for reducing the risk of recurrent suicidal behavior in patients with schizophrenia or schizoaffective disorder who are judged to be at chronic risk for re-experiencing suicidal behavior, based on history and recent clinical state. Suicidal behavior refers to actions by a patient that put him/herself at risk for death. The effectiveness of Clozapine ODT in reducing the risk of recurrent suicidal behavior was demonstrated over a two-year treatment period in the InterSePT™ trial [see Clinical Studies (14.2) ] .",Schizophrenia
2732215,copper histidinate,True,HUMAN PRESCRIPTION DRUG,1 INDICATIONS AND USAGE ZYCUBO is indicated for the treatment of Menkes disease in pediatric patients. ZYCUBO is a copper replacement product indicated for the treatment of Menkes disease in pediatric patients. ( 1 ) Limitations of Use ZYCUBO is not indicated for the treatment of Occipital Horn Syndrome. ( 1 ) Limitations of Use ZYCUBO is not indicated for the treatment of Occipital Horn Syndrome.,
3007,cycloserine,True,HUMAN PRESCRIPTION DRUG,"INDICATIONS AND USAGE Cycloserine is indicated in the treatment of active pulmonary and extrapulmonary tuberculosis (including renal disease) when the causative organisms are susceptible to this drug and when treatment with the primary medications (streptomycin, isoniazid, rifampin, and ethambutol) has proved inadequate. Like all antituberculosis drugs, cycloserine should be administered in conjunction with other effective chemotherapy and not as the sole therapeutic agent. Cycloserine may be effective in the treatment of acute urinary tract infections caused by susceptible strains of gram-positive and gram- negative bacteria. Use of cycloserine in these infections should be considered only when more conventional therapy has failed and when the organism has been demonstrated to be susceptible to the drug",
3013,cyproheptadine,True,HUMAN PRESCRIPTION DRUG,"INDICATIONS AND USAGE: Perennial and seasonal allergic rhinitis, Vasomotor rhinitis, Allergic conjunctivitis due to inhalant allergens and foods. Mild, uncomplicated allergic skin manifestations of urticaria and angioedema. Amelioration of allergic reactions to blood or plasma. Cold urticaria. Dermatographism. As therapy for anaphylactic reactions adjunctive to epinephrine and other standard measures after the acute manifestations have been controlled.",
